x,y
0.2906,0.04426
2.034,0.00426
2.034,0.04766
4.358,0.04766
4.358,0.05311
6.683,0.05311
6.683,0.05106
8.717,0.05106
8.717,0.05311
10.75,0.05243
11.04,0.04902
13.08,0.04834
13.06,0.03472
15.11,0.03404
15.4,0.02383
17.43,0.02383
17.43,0.02247
19.47,0.02247
19.47,0.01838
21.79,0.01838
21.79,0.01566
23.83,0.01566
23.83,0.01157
25.86,0.01157
25.86,0.004085
28.18,0.004085
28.18,0.006809
30.51,0.006809
30.51,0.005447
32.54,0.005447
32.54,0.0006809
34.56,0.0006809
34.56,0.002043
37.19,0.002043
37.19,1.209E-11
39.23,1.209E-11
54.62,1.209E-11